,Obtained,Skill,Fragment,Tank,Healer,Melee,Ranged,Caster,Basic Spell Effect,"Cast, Recast, Available",Full Spell Effect
,TRUE,Deep Essence fo the Watcher,Becoming,FALSE,FALSE,TRUE,TRUE,TRUE,"Max HP -3%
Evasion +48%
Special Effect on Lost Swift",,Reduces maximum HP by 3% while increasing evasion by 48%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
,TRUE,Deep Essence of the Profane,Becoming,FALSE,TRUE,FALSE,FALSE,FALSE,"Heal Potency -70%
Damage +120%",,Reduces healing potency by 70% while increasing damage dealt by 120%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
,TRUE,Deep Essence of the Irregular,Becoming,TRUE,FALSE,FALSE,FALSE,FALSE,"Damage +108%
Damage Taken +200%
Max HP -30%
Special Effect on Lost Font of Power",,Increases damage dealt by 108% and damage taken by 200% while reducing maximum HP by 30%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
,TRUE,Deep Essence of the Breathtaker,Becoming,TRUE,TRUE,TRUE,TRUE,TRUE,"Poison Resist, Move Speed, Mount Speed Up
Evasion +20%
Special Effect on Lost Swift, Resistance Potion Kit, and Resistance Ether Kit",,"Increases poison resistance and movement speed, including mount speed, and increases evasion by 20%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
,TRUE,Deep Essence of the Bloodsucker,Transcendence,TRUE,FALSE,FALSE,FALSE,FALSE,"Damage +48%
Lifesteal",,Increases damage dealt by 48%. Additional Effect: Absorb a portion of damage dealt as HP Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
,TRUE,Deep Essence of the Beast,Transcendence,FALSE,FALSE,TRUE,TRUE,TRUE,"Defense +60%
Max HP +54%
Lifesteal",,Increases defense by 60% and maximum HP by 54%. Additional Effect: Absorb a portion of damage dealt as HP Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
,TRUE,Deep Essence of the Templar,Transcendence,FALSE,TRUE,FALSE,FALSE,FALSE,"Defense +60%
Max HP +54%
Damage +72%",,"Increases defense by 60%, maximum HP by 54%, and damage dealt by 72%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
,TRUE,Pure Essence of the Gambler,Deception,FALSE,FALSE,TRUE,TRUE,TRUE,"Evasion +11%
Crit +77%
Direct Hit +77%
Delubrum Reginae Only",,"Increases evasion by 11%, critical hit rate by 77%, and direct hit rate by 77%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
,TRUE,Pure Essence of the Elder,Clarity,FALSE,FALSE,FALSE,FALSE,TRUE,"Defense +25%
Damage +50%
Max HP +100%
Special Effect on Lost Cure IV
Delubrum Reginae Only",,"Increases defense by 25%, damage dealt by 50%, and maximum HP by 100%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
,TRUE,Pure Essence of the Duelist,Contention,FALSE,FALSE,TRUE,FALSE,FALSE,"Defense +60%
Damage +60%
Max HP +81%
Special Effect on Banner of Honored Sacrifice
Delubrum Reginae Only",,"Increases defense by 60%, damage dealt by 60%, and maximum HP by 81%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
,TRUE,Pure Essence of the Fiendhunter,Finesse,FALSE,FALSE,FALSE,TRUE,FALSE,"Defense +60%
Damage +50%
Max HP +81%
Special Effect on Lost Cure II
Delubrum Reginae Only",,"Increases defense by 60%, damage dealt by 50%, and maximum HP by 81%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
,TRUE,Pure Essence of the Indomitable,Fortitude,TRUE,FALSE,FALSE,FALSE,FALSE,"Defense +40%
Damage +72%
Max HP +50%
Special Effect on Lost Sacrifice
Delubrum Reginae Only",,"Increases defense by 40%, damage dealt by 72%, and maximum HP by 50%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
,TRUE,Pure Essence of the Divine,Divinity,FALSE,TRUE,FALSE,FALSE,FALSE,"Defense +25%
Damage +35%
Max HP +100%
Special Effect on Lost Arise
Delubrum Reginae Only",,"Increases defense by 25%, damage dealt by 35%, and maximum HP by 100%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
,TRUE,Lodestone,History,TRUE,TRUE,TRUE,TRUE,TRUE,Return,Instant | 2.5s,Instantly return to the starting point of the area. Cannot be executed while in combat. Shares a recast timer with all other weaponskills and spells.
,TRUE,Light Curtain,Moonlight,TRUE,TRUE,TRUE,TRUE,TRUE,"Reflect Magic Attacks, 10s",Instant | 2.5s,Grants the effect of Lost Reflect to self. Lost Reflect Effect: Reflects most magic attacks Duration: 10s Shares a recast timer with all other weaponskills and spells.
,TRUE,Resistance Elixir,Multiple,TRUE,TRUE,TRUE,TRUE,TRUE,Max HP and MP,Instant | 90s,Restores own HP and MP to maximum. Shares a recast timer with Resistance Potion and Dynamis Dice.
